,ID,Pun,Sense Key 1,Sense Key 2,Sentence
10,hom_15_15,toasted,toast%2:30:00::,toast%2:34:00::,They threw a party for the inventor of the toaster . And he was toasted . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
11,hom_16_13,plant,plant%1:06:01::,plant%1:03:00::,If you ' re a gardener you might call yourself a ' plant manager ' . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
12,hom_18_8,squares,square%1:25:00::,square%1:18:01::,My advanced geometry class is full of squares . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
13,hom_19_3,grave,grave%5:00:00:critical:03,grave%1:06:00::,Jesus changes grave situations . Happy Easter . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
14,hom_20_17,outlet,outlet%1:06:02::,outlet%1:04:00::,I got angry when my cell phone battery died . My counselor suggested I find an outlet . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
15,hom_21_9,draw,draw%2:38:01::,draw%2:36:00::,A cowboy who was also an artist could draw fast . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
16,hom_22_15,snorted,snort%2:29:00::,snort%2:34:02::,' ' Angel dust ? Me ? Never touch it ! ' ' Tom snorted . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
17,hom_23_7,burning,burning%5:00:00:important:00,burn%2:43:02::;burn%2:43:01::;burn%2:30:03::;burn%2:30:02::;burn%2:30:01::;burn%2:30:00::;burn%2:39:04::,The fire chief was always asked burning questions . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
18,hom_26_15,spell,spell%2:36:00::,spell%2:32:01::,"If you leave alphabet soup on the stove and go out , it could spell disaster . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
19,hom_27_10,bounce,bounce%2:38:00::,bounce_back%2:30:00::,OLD BUNGEE JUMPERS sometimes die but they can still bounce back nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
20,hom_28_5,shot,shot%1:06:00::,shot%1:26:00::,The gunman took a shot at new opportunities . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
21,hom_30_8,gushed,gush%2:38:00::;gush%2:35:00::,gush%2:32:00::,I ' ve struck oil ! Tom gushed . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
22,hom_31_12,raft,raft%1:06:00::,raft%1:23:00::,Getting rid of your boat for another could cause a whole raft of problems . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
23,hom_34_15,coached,coach%2:32:00::,coach%2:38:00::,"' ' Pretend we were in the days before railways , ' ' Tom coached . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
24,hom_38_9,broken,break_down%2:30:00::;break_down%2:29:00::,break_down%2:31:00::,"OLD STATISTICIANS never die , they just get broken down by age , sex and marital status . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
25,hom_39_20,levels,level%1:06:01::,level%1:09:00::,Did you hear about the crime that happened in a parking garage ? It was wrong on so many levels . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
26,hom_43_8,case,case%1:06:00::,case%1:10:01::,Luggage salespeople have to make a good case for you to buy . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
27,hom_44_12,Range,range%1:15:02::,range%1:06:01::,A kettle on the stove was singing ' Home on the Range ' . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
28,hom_45_6,parts,part%1:10:00::,part%1:06:01::,Musical mechanics always sing in parts . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
29,hom_46_9,focus,focus%1:09:00::,focus%1:07:01::,Hubble wanted to bring the idea into better focus . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
30,hom_47_13,groundbreaking,groundbreaking%5:00:00:original:00,groundbreaking%1:04:00::,The decision to begin construction on the Empire State Building was a groundbreaking historical event . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
31,hom_48_10,cover,cover%1:06:01::,cover%1:04:02::,"OLD QUILTERS never die , they just go under cover . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
32,hom_50_9,taste,taste%1:09:02::,taste%1:11:00::,When cannibals ate a missionary they got a taste of religion . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
33,hom_51_8,fret,fret%2:37:03::,fret%1:06:00::;fret%2:40:00::,"OLD GUITARISTS never die , they just fret their lives away nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
34,hom_52_19,still,still%1:06:00::,still%1:07:00::,One evening King Arthur ' s men discovered Sir Lancelot ' s moonshine whiskey operation and shattered the still of the knight . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
35,hom_53_8,patent,patent%1:10:01::,patent%5:00:00:obvious:00,He stole an invention and then told patent lies . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
36,hom_55_12,see,see%2:39:00::,see_through%2:30:00::,"I made a batch of fish eye soup , it should see me through the week . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
37,hom_58_15,foot,foot%1:08:01::,foot%2:40:00::,"When he kicked the invoice , it didn ' t mean he wanted to foot the bill . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
38,hom_61_10,irrational,irrational%3:01:00::,irrational%3:00:00::,"Old math teachers never die , they just become irrational . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
39,hom_62_9,landing,landing%1:06:01::,landing%1:04:01::,Careless stair dancers are heading for a heavy landing . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
40,hom_63_10,premises,premise%1:10:00::,premises%1:15:00::,"OLD LOGICIANS never die , they just vacate the premises . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
41,hom_67_15,bar,bar%1:06:05::;bar%1:06:04::,bar%1:14:00::,Lawyers have to like alcohol because they ' re always being called to the bar . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
42,hom_70_9,snap,snap%2:35:01::,snap%2:32:00::,Vines are extremely short - tempered . They snap at the slightest wind . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
43,hom_71_21,sprinkles,sprinkle%1:19:00::,sprinkles%1:13:00::,The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
44,hom_72_10,faculties,faculty%1:09:00::,faculty%1:14:00::,"OLD ACADEMICIANS never die , they just lose their faculties nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
45,hom_74_9,energy,energy%1:19:00::,energy%1:07:02::,An electric company is always looking for high energy employees . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
46,hom_75_13,booked,book%2:41:00::,book%1:10:00::;book%1:06:00::,When a thief stole several volumes from the library he was quickly booked . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
47,hom_76_7,count,count%2:32:00::,count%2:31:02::,The inept mathematician couldn ' t count on his friends . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
48,hom_77_14,rest,rest%1:24:00::,rest%1:28:00::,"The phone call interrupted my nap , and I never did get the rest . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
49,hom_78_18,crunch,crunch%1:11:00::,crunch%1:26:00::,"When potato chips don ' t sell fast enough , the maker knows it will soon be crunch time . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
50,hom_80_5,spouted,spout%1:06:00::,spout%2:32:00::,"Save the whales , spouted Tom . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
51,hom_82_6,makeover,makeover%1:04:00::,makeover%1:04:01::,Come in for a free makeover this Sunday nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
52,hom_83_4,rejoined,rejoin%2:41:00::,rejoin%2:32:00::,Superglue ! Tom rejoined . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
53,hom_85_15,stand,stand%2:35:00::,stand%2:42:04::,"Admitting a mistake : ' ' Like the orthopedist ' s patient , I stand corrected . ' ' nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
54,hom_86_20,records,record%1:10:03::,record%1:06:00::,"For every 45 I collected , I would write down the song and the artist so I could keep records . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
55,hom_87_13,pat,pat%5:00:00:appropriate:00,pat%1:04:00::,"' ' There , there , ' ' was Tom ' s pat answer . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
56,hom_88_11,match,match%1:06:00::,match%1:11:00::,A contest held by fire fighters is called a ' match ' . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
57,hom_90_3,chills,chill_out%2:37:00::,chill%2:30:00::,No one chills out in the fires of hell . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
58,hom_91_15,root,root%1:20:00::,root%1:15:00::,"A lot of trees were dying , but they needed to figure out the root of the problem . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
59,hom_93_14,branch,branch%1:20:00::,branch%1:14:00::,A guy became so good with a chainsaw that he was promoted to branch manager . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
60,hom_96_12,blow,blow_up%2:30:05::,blow_up%2:37:00::,Don ' t argue with a bomb inventor - he might blow up at you . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
61,hom_97_6,down,down%3:00:00::;down%5:00:00:low:02,down%5:00:00:dejected:00,Don’t let adversity get you down unless you are on your knees nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
62,hom_99_10,unhinged,unhinge%2:37:00::,unhinge%2:30:00::,"OLD DOOR FRAMERS never die , they just become unhinged . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
63,hom_100_20,racket,racket%1:11:00::,racket%1:06:00::,I was against the construction of tennis courts in the park as I thought they would cause too much racket . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
64,hom_103_7,croaked,croak%2:30:00::,croak%2:32:00::,"I ' m dying , Tom croaked . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
65,hom_104_17,picking,pick_up%2:40:01::,pick_up%2:30:00::,"In a recession , the most secure job is garbage - man . Business is always picking up . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
66,hom_108_10,zest,orange_zest%1:13:00::,zest%1:12:00::,They replaced the baseball with an orange to add zest to the game . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
67,hom_109_10,boring,boring%5:00:00:uninteresting:00,boring%1:04:01::;bore%2:35:00::,If you operate a drill press you have a boring job . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
68,hom_110_11,rut,rut%1:25:00::,rut%1:04:00::,Figure skaters don ' t like to be in a rut . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
69,hom_112_7,got,get%2:40:00::,get%2:39:14::,A thief who stole a calendar got twelve months . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
70,hom_113_11,type,type%1:18:00::,type%1:10:01::,OLD PRINTERS never die they ' re just not the type nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
71,hom_115_11,cue,cue%1:10:00::,cue%1:06:00::,"A play , based on billiards , started right on cue . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
72,hom_116_14,potty,potty%1:06:00::,potty%5:00:00:loving:00,"My father slept under the bed , I think he was a little potty . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
73,hom_117_5,grind,grind%1:04:00::;grind%1:07:00::,grind%1:04:01::,Is coffee your daily grind ? nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
74,hom_119_7,Alarming,alarm%2:37:00::,alarm%2:32:00::,Some people find fire drills quite Alarming . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
75,hom_120_12,differentiate,differentiate%2:30:00::,differentiate%2:31:00::,"Old math profs never die , they just can ' t differentiate . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
76,hom_124_7,see,see%2:39:00::,see_through%2:30:00::,The inventor of glass decided to see it through . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
77,hom_125_17,possessive,possessive%3:01:00::,possessive%5:00:00:dominant:01,A noun and a verb were dating but they broke up because the noun was too possessive . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
78,hom_128_16,pitch,pitch%1:04:03::,pitch%1:10:00::,A baseball player can sell himself to a new team if he has a good pitch . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
79,hom_130_11,bristled,bristle%2:31:00::,bristle%1:06:00::,' ' Use your own toothbrush ! ' ' Tom bristled . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
80,hom_133_12,dough,dough%1:13:00::,dough%1:21:00::,"OLD BAKERS never die , they just stop making lots of dough . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
81,hom_135_10,ripe,ripe%3:00:00::,ripe%5:00:00:late:00,The couple grew fruit trees and lived to a ripe old age . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
